"accession","species","type","title","summary","nsamples"
"GSE232586","Homo sapiens; Mus musculus","Expression profiling by high throughput sequencing","Compared with the Mock group, FGF8+10 treatment mature the differentiated LPM-like cells to form LM-like cells, and gene expression profile at single cell level of Msx1+ mesenchymal progenitors from mouse E10.5 embryos","This SuperSeries is composed of the SubSeries listed below.",9
"GSE232584","Homo sapiens","Expression profiling by high throughput sequencing","Compared with the Mock group, FGF8+10 treatment mature the differentiated LPM-like cells to form LM-like cells [RNA-seq]","When treated with FGF8+10, LM makers were upregulated and the expression levels were higher than that of the Mock cells.",8
"GSE244455","Homo sapiens","Expression profiling by high throughput sequencing","Transcriptomic analysis and fusion gene identification of Exos, MPs, MBRs","Previously, we reported that human primary (SW480) and metastatic (SW620) colorectal (CRC) cells secrete (shed) midbody remnants (MBRs), exosomes (Exos), and microparticles (MPs) are molecularly distinct at the protein level. To gain further biochemical insights into MBRs, Exos, and MPs and their emerging role in CRC, we performed, and report here for the first time, a comprehensive transcriptome and long noncoding RNA sequencing analysis and fusion gene identification of these three EV classes using the next-generation RNA sequencing technique. Differential transcript expression analysis revealed that MBRs have a distinct transcriptomic profile compared to Exos and MPs with a high enrichment of mitochondrial transcripts lncRNA/pseudogene transcripts that are predicted to bind to ribonucleoprotein complexes, spliceosome and RNA/stress granule proteins. A salient finding from this study is a high enrichment of several fusion genes in MBRs compared to Exos, MPs and cell lysates from their parental cells such as MSH2 (gene encoded DNA mismatch repair protein MSH2). This suggests potential EV-liquid biopsy targets for cancer detection. Importantly, the expression of cancer progression-related transcripts found in EV classes derived from SW480 (EGFR) and SW620 (MET and MACCA1) cell lines reflects their parental cell types. Our study is the first discovery of RNA and fusion gene compositions within MBRs (including Exos and MPs) that could have an impact on EV functionality in cancer progression and detection using EV-based RNA/ fusion gene candidates for cancer biomarkers",24
"GSE246159","Mus musculus","Expression profiling by array","FE1 lung epithelial cells: Control vs nanoparticle, microparticle, metal chloride exposed","Control vs nanoparticle, microparticle, metal chloride exposed",413
"GSE217828","Mus musculus","Expression profiling by high throughput sequencing; Other","YAP Drives Assembly of a Spatially Colocalized Cellular Triad Required for Heart Renewal","After myocardial infarction (MI), the heart fails to renew, and the cardiac microenvironment is irreversibly disrupted. Inactivation of the Hippo signaling pathway can rebuild the post ischemic microenvironment and improve cardiac function. We investigated spatially resolved cellular relationships of neonatal and adult renewal-competent hearts to gain insight into inefficient mammalian heart renewal. Spatial transcriptomics (ST) and single-cell sequencing of adult control hearts and hearts expressing YAP5SA, an active version of the Hippo signaling pathway effector YAP, which models heart renewal, revealed a conserved, renewal-competent cardiomyocyte (CM) population in control hearts and amplified in YAP5SA hearts. This CM population was also found in the wildtype, renewal competent neonatal heart after myocardial infarction, as well as the adult human heart. Cardiac fibroblasts (CFs), expressing complement C3, colocalized with these CMs. In YAP5SA hearts and neonatal hearts post-MI, macrophages (MPs) expressing complement receptor C3ar1 also colocalized, creating a pro-renewal niche composed of the CM, CF and MP triad. Both C3 and C3ar1 loss-of-function in YAP5SA hearts similarly suppressed heart renewal, indicating that C3-expressing CFs, C3ar1-expressing MPs, and complement system signaling play a direct role in heart renewal",12
"GSE216851","Homo sapiens","Expression profiling by high throughput sequencing","SARS-CoV-2-induced disruption of a vascular bed in a microphysiological system caused by type-I interferon from bronchial organoids","Blood vessels show various COVID-19-related conditions including thrombosis and cytokine propagation. Existing in vitro blood vessel models cannot represent the consequent changes in the vascular structure or determine the initial infection site, making it difficult to evaluate how epithelial and endothelial tissues are damaged. Here, we developed a microphysiological system (MPS) that co-culture the bronchial organoids and the vascular bed to analyze infection site and interactions. In this system, virus-infected organoids caused damage in vascular structure. However, vasculature was not damaged or infected when the virus was directly introduced to vascular bed. The knockout of interferon-related genes and inhibition of the JAK/STAT pathway reduced the vascular damage, indicating the protective effect of interferon response suppression. The results demonstrate selective infection of bronchial epithelial cells and vascular damage by cytokines and also indicate the applicability of MPS to investigate how the infection influences vascular structure and functions. ",6
"GSE252708","Homo sapiens","Non-coding RNA profiling by high throughput sequencing","Massive Parallel Sequencing (MPS) of miRNAs in PBMCs","We carried out Massive Parallel Sequencing (MPS) to reveal circulating miRNA profiles of 96 patients to distinguish the radiographic and non-radiographic axial spondyloarthritis. The sequencing platform identified 1900 miRNA species, out of which 432 miRNAs were present with the base mean, computed by DESeq2, more than 10. We identified 48 miRNAs, which were different in PBMCs in patients with axial spondyloarthritis compared to healthy controls.",96
"GSE252575","Homo sapiens","Expression profiling by high throughput sequencing","Extracellular proximity labeling reveals an expanded interactome for the matrisome protein TIMP2","Classical methods of investigating protein-protein interactions (PPIs) are generally performed in non-living systems, yet in recent years new technologies utilizing proximity labeling (PL) have given researchers the tools to explore proximal PPIs in living systems. PL has distinct advantages over traditional protein interactome studies, such as the ability to identify weak and transient interactions in vitro and in vivo. Most PL studies are performed on targets within or on the cell membrane. We have adapted the original PL method to investigate PPIs within the extracellular compartment, using both BioID2 and TurboID, that we term extracellular PL (ePL). To demonstrate the utility of this modified technique, we investigate the interactome of the widely expressed matrisome protein Tissue inhibitors of metalloproteinases 2 (TIMP2). Tissue inhibitors of metalloproteinases (TIMPs) are a family of multi-functional proteins that were initially defined by their ability to inhibit the enzymatic activity of metalloproteinases (MPs), the major mediators of extracellular matrix (ECM) breakdown and turnover. TIMP2 exhibits a broad expression profile and is often abundant in both normal and diseased tissues. Understanding the functional transformation of matrisome regulators, like TIMP2, during the evolution of tissue microenvironments associated with disease progression is essential for the development of ECM targeted therapeutics. Using carboxyl- and amino-terminal fusion proteins of TIMP2 with BioID2 and TurboID, we describe the TIMP2 proximal interactome. We also illustrate how the TIMP2 interactome changes in the presence of different stimuli, in different cell types, in unique culture conditions (2D vs 3D), and with different reaction kinetics (BioID2 vs. TurboID); demonstrating the power of this technique versus classical PPI methods. We propose that the screening of matrisome targets in disease models using ePL will reveal new therapeutic targets for further comprehensive studies.",12
"GSE246422","Saccharomyces cerevisiae","Other","Orphan quality control by an SCF ubiquitin ligase directed to pervasive C-degrons","Selective protein degradation typically involves substrate recognition via short linear motifs known as degrons. Various degrons can be found at protein termini from bacteria to mammals. While N-degrons have been extensively studied, our understanding of C-degrons is still limited. Towards a comprehensive understanding of eukaryotic C-degron pathways, we performed an unbiased survey of C-degrons in budding yeast. We identified over 5000 potential C-degrons by stability profiling of random peptide libraries and of the yeast C-terminome. Combining machine learning, high-throughput mutagenesis and genetic screens revealed that the SCF ubiquitin ligase targets ~40% of degrons using a single F-box substrate receptor Das1. Although sequence-specific, Das1 is highly promiscuous, recognizing a variety of C-degron motifs. By screening for full-length substrates, we implicate SCFDas1 in degradation of orphan protein complex subunits. Altogether, this work highlights the variety of C-degron pathways in eukaryotes and uncovers how an SCF/C-degron pathway of broad specificity contributes to proteostasis.",30
"GSE244407","Homo sapiens","Expression profiling by high throughput sequencing","Gut-Liver Microphysiological Systems Revealed Arachidonic Acid as a Potential Crosstalk Factor Modulating Drug Metabolism","Coculture of hepatocytes with small intestine cells using MPS have been shown to enhance hepatic drug metabolism, yet the crosstalk mechanism is still unclear. Coculture of PXB-cells and iPS-derived intestine cells in MPS with perfusion and direct oxygenation were conducted to investigate this crosstalk. Analysis on albumin secretion, CYP enzyme actvity and differentially expressed genes confirmed that perfusion and direct oxygenation enhanced PXB-cells. Upregulation of ""epoxygenase P450 pathway"" GO terms indicated involvement of Arachidonic Acid (ARA) in the crosstalk mechanism. This is further confirmed by comparing the effect of ARA and coculture toward PXB-cells CYP enzymes activity. We hypothesize that some stimulus from PXB-cells resulted made iPS-derived intestine cells released ARA in form of lipoprotein, which is then taken in by PXB-cells and enhanced CYP activity.",12
"GSE283212","Mus musculus","Expression profiling by high throughput sequencing","Characterization of BCR::ABL1-negative NK cells exposed to leukemic microenvironment in a mouse model of Chronic Myeloid Leukemia (https://doi.org/10.1182/bloodadvances.2024014592)","Natural killer (NK) cells play an integral role in immunosurveillance against myeloid malignancies, with their mature phenotype and abundance linked to prolonged treatment-free remission in chronic myeloid leukemia (CML). However, NK cell function is suppressed during the disease, and the orchestrators of this impairment are not fully understood. Using a chimeric BCR::ABL1+ CML mouse model, we characterized the impact of the leukemic microenvironment on NK cell function and gene transcription. To address the latter, we profiled NK cells from spleen and bone marrow of CML and healthy mice by single-cell RNA sequencing. We revealed an inflammatory cytokine response in CML-exposed NK cells, highlighted by the tumor necrosis factor-a (TNFa)-induced gene signature, upregulation of TNFa receptor TNFR2, and enrichment of SOCS family genes such as Cish, the critical NK cell checkpoint. Ex vivo exposure of healthy NK cells to leukemic soluble factors compromised target-specific NK cell degranulation, which was partially rescued by inhibiting Cish or TNFa - candidate targets reveiled by scRNA-seq. In alignment with these findings, NK cells from healthy donors displayed suppressed cytotoxicity when exposed to plasma from untreated CML patients, with a partial restoration upon Cish or TNFa inhibition. Furthermore, NK cells from newly diagnosed CML patients pre-destined for blast crisis showed an enrichment of the TNFa-induced pro-inflammatory gene signature identified in CML mice. These results suggest that targeting inflammatory signaling could enhance NK cell-based immunotherapies for CML.",9
"GSE280378","Homo sapiens","Expression profiling by high throughput sequencing","Induction of MASH in Three-Dimensional Bioprinted Human Liver Tissue","Non-alcoholic steatohepatitis (NASH) represents a significant and growing public health concern worldwide, characterized by hepatic steatosis, inflammation, and varying degrees of fibrosis. In vitro models of NASH play a crucial role in elucidating the underlying mechanisms of disease pathogenesis, identifying potential therapeutic targets, and evaluating the efficacy of pharmacological interventions. Several preclinical models of MASH have been developed and are being used extensively to study these areas. While standard cell culture models allow for elucidation of certain molecular pathways involved in MASH pathogenesis, they lack three-dimensional architecture and cellular heterogeneity observed in native liver tissue, potentially limiting their physiological relevance and inability to fully capture the multifactorial nature of the disease Precision cut liver slices from MASH livers retain the complex multicellular architecture of the liver including hepatocyte arrangement, sinusoidal structure, and cellular interactions, but the metabolism deteriorates over a short period of time (usually reported as 2 days). Human liver organoids from iPSCs (induced pluripotent stem cells) retain the genetics of the patients but fail to fully differentiate into hepatocytes or have the liver architecture. Human liver spheroids incubated in a MASH cocktail develop several phenotypic characteristics of a MASH liver, but the small spheroid size precludes extensive histological comparisons to MASH livers. Microphysiological systems (MPS) or “liver on a chip” in which 3D cultures are perfused, maintain many of the physiological functions of the liver owing to precise control over microenvironmental parameters, including fluid flow, nutrient gradients, and mechanical cues. However, MPS are difficult to scale up and have not been developed to reproduce a MASH phenotype.  In comparison, bioprinted liver tissues for MASH have many advantages. Organovo’s 3D bioprinted liver tissues are comprised of all major primary liver cells including hepatocytes, endothelial cells, stellates and Kupffer cells, mixed in physiologically relevant ratios. These cells are then bioprinted in precise pre-defined liver specific geometries to recapitulate complexity of the hepatic microenvironment.. This mimicking of tissue architecture enables more accurate representation of cellular interactions, spatial organization, and microenvironmental cues crucial for MASH pathogenesis. The liver tissues developed using this method maintain differentiation and metabolism over several weeks. In this paper, we further demonstrated that upon treatment with a MASH induction cocktail, these liver tissues respond accurately by developing steatosis and fibrosis Tissue response varies depending in response to the complexity of the MASH cocktail.",22
"GSE250203","Mus musculus","Expression profiling by high throughput sequencing","Yin Yang 1 Deficiency in Skeletal Muscle Stem Cell Aggravates Muscle Fibrosis in Duchenne Muscular Dystrophy Mouse by Disrupting Muscle Stem Cell/Macrophage/Fibro-adipogenic Progenitor Crosstalk [scRNA-Seq]","Adult skeletal muscle stem cells (MuSCs), also known as satellite cells (SCs), are widely believed to be responsible for muscle regeneration, which is regulated by complex networks of intrinsic and extrinsic factors. Emerging evidence demonstrates extrinsic regulations from other cell types can significantly impact the regeneration process, especially in repetitive cycles of degeneration/regeneration environment. Here, we demonstrate that the transcription factor (TF) Yin Yang 1 (YY1) deletion in MuSCs of mdx mouse induces CCL5 expression by alleviating the repressive effect on 3D structural interactions on Ccl5 locus. This leads to the increased secretion of CCL5 from MuSCs to the muscle niche, which promotes the recruitment of macrophages (MPs) through the CCL5/CCR5 axis. Incremental MPs lead to continuous inflammation that promotes the survival of Fibro-adipogenic progenitors’ (FAP) through secreting elevated TGFβ1 to stimulate FAPs resisting apoptosis, resulting in aggravated dystrophic pathology manifested by exacerbated fibrosis. Inhibition of CCL5/CCR5 axis by Maraviroc injection effectively mitigates muscle dystrophy and enhances muscle performance in YY1 deletion mdx mouse. Altogether, our findings promote us to conclude that YY1 functions as a 3D structural protein to repress Ccl5 production at the transcriptional level in MuSCs, playing a critical role in orchestrating MuSC/MP/FAP crosstalk through CCL5/CCR5 and TGFβ1 signaling. Intrinsic deletion of YY1 in MuSCs disrupts the cellular interactions and leads to skewed muscle niche with aggravated muscle dystrophy upon chronic injury.",2
"GSE250202","Mus musculus","Expression profiling by high throughput sequencing","Yin Yang 1 Deficiency in Skeletal Muscle Stem Cell Aggravates Muscle Fibrosis in Duchenne Muscular Dystrophy Mouse by Disrupting Muscle Stem Cell/Macrophage/Fibro-adipogenic Progenitor Crosstalk [RNA-Seq]","Adult skeletal muscle stem cells (MuSCs), also known as satellite cells (SCs), are widely believed to be responsible for muscle regeneration, which is regulated by complex networks of intrinsic and extrinsic factors. Emerging evidence demonstrates extrinsic regulations from other cell types can significantly impact the regeneration process, especially in repetitive cycles of degeneration/regeneration environment. Here, we demonstrate that the transcription factor (TF) Yin Yang 1 (YY1) deletion in MuSCs of mdx mouse induces CCL5 expression by alleviating the repressive effect on 3D structural interactions on Ccl5 locus. This leads to the increased secretion of CCL5 from MuSCs to the muscle niche, which promotes the recruitment of macrophages (MPs) through the CCL5/CCR5 axis. Incremental MPs lead to continuous inflammation that promotes the survival of Fibro-adipogenic progenitors’ (FAP) through secreting elevated TGFβ1 to stimulate FAPs resisting apoptosis, resulting in aggravated dystrophic pathology manifested by exacerbated fibrosis. Inhibition of CCL5/CCR5 axis by Maraviroc injection effectively mitigates muscle dystrophy and enhances muscle performance in YY1 deletion mdx mouse. Altogether, our findings promote us to conclude that YY1 functions as a 3D structural protein to repress Ccl5 production at the transcriptional level in MuSCs, playing a critical role in orchestrating MuSC/MP/FAP crosstalk through CCL5/CCR5 and TGFβ1 signaling. Intrinsic deletion of YY1 in MuSCs disrupts the cellular interactions and leads to skewed muscle niche with aggravated muscle dystrophy upon chronic injury.",12
"GSE250197","Mus musculus","Genome binding/occupancy profiling by high throughput sequencing","Yin Yang 1 Deficiency in Skeletal Muscle Stem Cell Aggravates Muscle Fibrosis in Duchenne Muscular Dystrophy Mouse by Disrupting Muscle Stem Cell/Macrophage/Fibro-adipogenic Progenitor Crosstalk [ChIP-Seq]","Adult skeletal muscle stem cells (MuSCs), also known as satellite cells (SCs), are widely believed to be responsible for muscle regeneration, which is regulated by complex networks of intrinsic and extrinsic factors. Emerging evidence demonstrates extrinsic regulations from other cell types can significantly impact the regeneration process, especially in repetitive cycles of degeneration/regeneration environment. Here, we demonstrate that the transcription factor (TF) Yin Yang 1 (YY1) deletion in MuSCs of mdx mouse induces CCL5 expression by alleviating the repressive effect on 3D structural interactions on Ccl5 locus. This leads to the increased secretion of CCL5 from MuSCs to the muscle niche, which promotes the recruitment of macrophages (MPs) through the CCL5/CCR5 axis. Incremental MPs lead to continuous inflammation that promotes the survival of Fibro-adipogenic progenitors’ (FAP) through secreting elevated TGFβ1 to stimulate FAPs resisting apoptosis, resulting in aggravated dystrophic pathology manifested by exacerbated fibrosis. Inhibition of CCL5/CCR5 axis by Maraviroc injection effectively mitigates muscle dystrophy and enhances muscle performance in YY1 deletion mdx mouse. Altogether, our findings promote us to conclude that YY1 functions as a 3D structural protein to repress Ccl5 production at the transcriptional level in MuSCs, playing a critical role in orchestrating MuSC/MP/FAP crosstalk through CCL5/CCR5 and TGFβ1 signaling. Intrinsic deletion of YY1 in MuSCs disrupts the cellular interactions and leads to skewed muscle niche with aggravated muscle dystrophy upon chronic injury.",2
"GSE250193","Mus musculus","Other","Yin Yang 1 Deficiency in Skeletal Muscle Stem Cell Aggravates Muscle Fibrosis in Duchenne Muscular Dystrophy Mouse by Disrupting Muscle Stem Cell/Macrophage/Fibro-adipogenic Progenitor Crosstalk [Hi-C]","Adult skeletal muscle stem cells (MuSCs), also known as satellite cells (SCs), are widely believed to be responsible for muscle regeneration, which is regulated by complex networks of intrinsic and extrinsic factors. Emerging evidence demonstrates extrinsic regulations from other cell types can significantly impact the regeneration process, especially in repetitive cycles of degeneration/regeneration environment. Here, we demonstrate that the transcription factor (TF) Yin Yang 1 (YY1) deletion in MuSCs of mdx mouse induces CCL5 expression by alleviating the repressive effect on 3D structural interactions on Ccl5 locus. This leads to the increased secretion of CCL5 from MuSCs to the muscle niche, which promotes the recruitment of macrophages (MPs) through the CCL5/CCR5 axis. Incremental MPs lead to continuous inflammation that promotes the survival of Fibro-adipogenic progenitors’ (FAP) through secreting elevated TGFβ1 to stimulate FAPs resisting apoptosis, resulting in aggravated dystrophic pathology manifested by exacerbated fibrosis. Inhibition of CCL5/CCR5 axis by Maraviroc injection effectively mitigates muscle dystrophy and enhances muscle performance in YY1 deletion mdx mouse. Altogether, our findings promote us to conclude that YY1 functions as a 3D structural protein to repress Ccl5 production at the transcriptional level in MuSCs, playing a critical role in orchestrating MuSC/MP/FAP crosstalk through CCL5/CCR5 and TGFβ1 signaling. Intrinsic deletion of YY1 in MuSCs disrupts the cellular interactions and leads to skewed muscle niche with aggravated muscle dystrophy upon chronic injury.",6
